# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: C:\Users\robertduenez\Documents\GitHub\BitsPlease\doc\BitsPlease.csv
# Generated on: Wed May 09 14:13:08 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
display_4[3],Output,PIN_AH21,4,B4_N2,PIN_AH21,2.5 V,,,,,
display_4[2],Output,PIN_AG21,4,B4_N2,PIN_AG21,2.5 V,,,,,
display_4[1],Output,PIN_AA19,4,B4_N0,PIN_AA19,2.5 V,,,,,
display_4[0],Output,PIN_AB19,4,B4_N0,PIN_AB19,2.5 V,,,,,
display_5[6],Output,PIN_AH18,4,B4_N2,PIN_AH18,2.5 V,,,,,
display_5[5],Output,PIN_AF18,4,B4_N1,PIN_AF18,2.5 V,,,,,
display_5[4],Output,PIN_AG19,4,B4_N2,PIN_AG19,2.5 V,,,,,
display_5[3],Output,PIN_AH19,4,B4_N2,PIN_AH19,2.5 V,,,,,
display_5[2],Output,PIN_AB18,4,B4_N0,PIN_AB18,2.5 V,,,,,
display_5[1],Output,PIN_AC18,4,B4_N1,PIN_AC18,2.5 V,,,,,
display_5[0],Output,PIN_AD18,4,B4_N1,PIN_AD18,2.5 V,,,,,
display_6[6],Output,PIN_AC17,4,B4_N2,PIN_AC17,2.5 V,,,,,
display_6[5],Output,PIN_AA15,4,B4_N2,PIN_AA15,2.5 V,,,,,
display_6[4],Output,PIN_AB15,4,B4_N2,PIN_AB15,2.5 V,,,,,
display_6[3],Output,PIN_AB17,4,B4_N1,PIN_AB17,2.5 V,,,,,
display_6[2],Output,PIN_AA16,4,B4_N2,PIN_AA16,2.5 V,,,,,
display_6[1],Output,PIN_AB16,4,B4_N2,PIN_AB16,2.5 V,,,,,
display_6[0],Output,PIN_AA17,4,B4_N1,PIN_AA17,2.5 V,,,,,
display_7[6],Output,PIN_AA14,3,B3_N0,PIN_AA14,2.5 V,,,,,
display_7[5],Output,PIN_AG18,4,B4_N2,PIN_AG18,2.5 V,,,,,
display_7[4],Output,PIN_AF17,4,B4_N2,PIN_AF17,2.5 V,,,,,
display_7[3],Output,PIN_AH17,4,B4_N2,PIN_AH17,2.5 V,,,,,
display_7[2],Output,PIN_AG17,4,B4_N2,PIN_AG17,2.5 V,,,,,
display_7[1],Output,PIN_AE17,4,B4_N2,PIN_AE17,2.5 V,,,,,
display_7[0],Output,PIN_AD17,4,B4_N2,PIN_AD17,2.5 V,,,,,
lcd_DB[7],Output,PIN_M5,1,B1_N2,PIN_M5,2.5 V,,,,,
lcd_DB[6],Output,PIN_M3,1,B1_N1,PIN_M3,2.5 V,,,,,
lcd_DB[5],Output,PIN_K2,1,B1_N1,PIN_K2,2.5 V,,,,,
lcd_DB[4],Output,PIN_K1,1,B1_N1,PIN_K1,2.5 V,,,,,
lcd_DB[3],Output,PIN_K7,1,B1_N1,PIN_K7,2.5 V,,,,,
lcd_DB[2],Output,PIN_L2,1,B1_N2,PIN_L2,2.5 V,,,,,
lcd_DB[1],Output,PIN_L1,1,B1_N2,PIN_L1,2.5 V,,,,,
lcd_DB[0],Output,PIN_L3,1,B1_N1,PIN_L3,2.5 V,,,,,
lcd_E,Output,PIN_L4,1,B1_N1,PIN_L4,2.5 V,,,,,
lcd_ON,Output,PIN_L5,1,B1_N1,PIN_L5,2.5 V,,,,,
lcd_RS,Output,PIN_M2,1,B1_N2,PIN_M2,2.5 V,,,,,
lcd_RW,Output,PIN_M1,1,B1_N2,PIN_M1,2.5 V,,,,,
matrix_col[7],Output,PIN_AF16,4,B4_N2,PIN_AF16,2.5 V,,,,,
matrix_col[6],Output,PIN_AF15,4,B4_N2,PIN_AF15,2.5 V,,,,,
matrix_col[5],Output,PIN_AE21,4,B4_N1,PIN_AE21,2.5 V,,,,,
matrix_col[4],Output,PIN_AC22,4,B4_N0,PIN_AC22,2.5 V,,,,,
matrix_col[3],Output,PIN_AF21,4,B4_N1,PIN_AF21,2.5 V,,,,,
matrix_col[2],Output,PIN_AD22,4,B4_N0,PIN_AD22,2.5 V,,,,,
matrix_col[1],Output,PIN_AD25,4,B4_N0,PIN_AD25,2.5 V,,,,,
matrix_col[0],Output,PIN_AE25,4,B4_N1,PIN_AE25,2.5 V,,,,,
matrix_row[7],Output,PIN_AC19,4,B4_N0,PIN_AC19,2.5 V,,,,,
matrix_row[6],Output,PIN_AD19,4,B4_N0,PIN_AD19,2.5 V,,,,,
matrix_row[5],Output,PIN_AF24,4,B4_N1,PIN_AF24,2.5 V,,,,,
matrix_row[4],Output,PIN_AF25,4,B4_N1,PIN_AF25,2.5 V,,,,,
matrix_row[3],Output,PIN_AE22,4,B4_N0,PIN_AE22,2.5 V,,,,,
matrix_row[2],Output,PIN_AF22,4,B4_N0,PIN_AF22,2.5 V,,,,,
matrix_row[1],Output,PIN_AG25,4,B4_N1,PIN_AG25,2.5 V,,,,,
matrix_row[0],Output,PIN_AH25,4,B4_N1,PIN_AH25,2.5 V,,,,,
rst[0],Input,PIN_M23,6,B6_N2,PIN_M23,2.5 V,,,,,
